NAME,B25060_001E,state,county,tract
"Census Tract 8233.04, Cook County, Illinois",810100,17,031,823304
"Census Tract 8245.07, Cook County, Illinois",318700,17,031,824507
"Census Tract 8248, Cook County, Illinois",565200,17,031,824800
"Census Tract 8249, Cook County, Illinois",262300,17,031,824900
"Census Tract 8254, Cook County, Illinois",572900,17,031,825400
"Census Tract 8255.01, Cook County, Illinois",875000,17,031,825501
"Census Tract 8255.03, Cook County, Illinois",687500,17,031,825503
"Census Tract 8255.05, Cook County, Illinois",395900,17,031,825505
"Census Tract 5306, Cook County, Illinois",368100,17,031,530600
"Census Tract 3108, Cook County, Illinois",809500,17,031,310800
"Census Tract 3302, Cook County, Illinois",742200,17,031,330200
"Census Tract 3405, Cook County, Illinois",347200,17,031,340500
"Census Tract 3515, Cook County, Illinois",161400,17,031,351500
"Census Tract 3903, Cook County, Illinois",796800,17,031,390300
"Census Tract 4008, Cook County, Illinois",581900,17,031,400800
"Census Tract 4108, Cook County, Illinois",1059300,17,031,410800
"Census Tract 4203, Cook County, Illinois",420700,17,031,420300
"Census Tract 4302, Cook County, Illinois",1289800,17,031,430200
"Census Tract 4305, Cook County, Illinois",946400,17,031,430500
"Census Tract 4314, Cook County, Illinois",2199600,17,031,431400
"Census Tract 4407, Cook County, Illinois",147500,17,031,440700
"Census Tract 4701, Cook County, Illinois",286100,17,031,470100
"Census Tract 4801, Cook County, Illinois",147900,17,031,480100
"Census Tract 4911, Cook County, Illinois",312100,17,031,491100
"Census Tract 4913, Cook County, Illinois",256700,17,031,491300
"Census Tract 5101, Cook County, Illinois",219000,17,031,510100
"Census Tract 5201, Cook County, Illinois",127200,17,031,520100
"Census Tract 5301, Cook County, Illinois",223500,17,031,530100
"Census Tract 5302, Cook County, Illinois",511100,17,031,530200
"Census Tract 5601, Cook County, Illinois",57200,17,031,560100
"Census Tract 8016.03, Cook County, Illinois",1253300,17,031,801603
"Census Tract 8016.08, Cook County, Illinois",1040800,17,031,801608
"Census Tract 8019.01, Cook County, Illinois",449500,17,031,801901
"Census Tract 8024.02, Cook County, Illinois",611100,17,031,802402
"Census Tract 8030.10, Cook County, Illinois",264400,17,031,803010
"Census Tract 713, Cook County, Illinois",1571800,17,031,071300
"Census Tract 803, Cook County, Illinois",2312900,17,031,080300
"Census Tract 816, Cook County, Illinois",3495200,17,031,081600
"Census Tract 818, Cook County, Illinois",5454000,17,031,081800
"Census Tract 819, Cook County, Illinois",181300,17,031,081900
"Census Tract 5703, Cook County, Illinois",575600,17,031,570300
"Census Tract 6115, Cook County, Illinois",408400,17,031,611500
"Census Tract 6117, Cook County, Illinois",206600,17,031,611700
"Census Tract 6202, Cook County, Illinois",206800,17,031,620200
"Census Tract 8163, Cook County, Illinois",483600,17,031,816300
"Census Tract 8170, Cook County, Illinois",465300,17,031,817000
"Census Tract 8185, Cook County, Illinois",186400,17,031,818500
"Census Tract 8187, Cook County, Illinois",213900,17,031,818700
"Census Tract 2001, Cook County, Illinois",544900,17,031,200100
"Census Tract 1609, Cook County, Illinois",453800,17,031,160900
"Census Tract 1709, Cook County, Illinois",165200,17,031,170900
"Census Tract 2203, Cook County, Illinois",587100,17,031,220300
"Census Tract 6301, Cook County, Illinois",86200,17,031,630100
"Census Tract 6610, Cook County, Illinois",645500,17,031,661000
"Census Tract 6702, Cook County, Illinois",96000,17,031,670200
"Census Tract 104, Cook County, Illinois",1567500,17,031,010400
"Census Tract 3801, Cook County, Illinois",493400,17,031,380100
"Census Tract 6718, Cook County, Illinois",141600,17,031,671800
"Census Tract 6911, Cook County, Illinois",472400,17,031,691100
"Census Tract 5303, Cook County, Illinois",230600,17,031,530300
"Census Tract 5609, Cook County, Illinois",186000,17,031,560900
"Census Tract 5803, Cook County, Illinois",196100,17,031,580300
"Census Tract 6113, Cook County, Illinois",340100,17,031,611300
"Census Tract 6116, Cook County, Illinois",130200,17,031,611600
"Census Tract 6203, Cook County, Illinois",575700,17,031,620300
"Census Tract 6204, Cook County, Illinois",224500,17,031,620400
"Census Tract 8190, Cook County, Illinois",550900,17,031,819000
"Census Tract 8193, Cook County, Illinois",114800,17,031,819300
"Census Tract 8204, Cook County, Illinois",657200,17,031,820400
"Census Tract 8208, Cook County, Illinois",121900,17,031,820800
"Census Tract 1701, Cook County, Illinois",317200,17,031,170100
"Census Tract 1707, Cook County, Illinois",178200,17,031,170700
"Census Tract 1901, Cook County, Illinois",432800,17,031,190100
"Census Tract 2205, Cook County, Illinois",968300,17,031,220500
"Census Tract 2227, Cook County, Illinois",617400,17,031,222700
"Census Tract 2312, Cook County, Illinois",882700,17,031,231200
"Census Tract 2315, Cook County, Illinois",770400,17,031,231500
"Census Tract 2405, Cook County, Illinois",579600,17,031,240500
"Census Tract 2409, Cook County, Illinois",306300,17,031,240900
"Census Tract 2422, Cook County, Illinois",1577500,17,031,242200
"Census Tract 2435, Cook County, Illinois",1836700,17,031,243500
"Census Tract 2505, Cook County, Illinois",681700,17,031,250500
"Census Tract 2510, Cook County, Illinois",91100,17,031,251000
"Census Tract 2514, Cook County, Illinois",778000,17,031,251400
"Census Tract 2608, Cook County, Illinois",491600,17,031,260800
"Census Tract 501, Cook County, Illinois",899700,17,031,050100
"Census Tract 507, Cook County, Illinois",351400,17,031,050700
"Census Tract 621, Cook County, Illinois",1679400,17,031,062100
"Census Tract 6201, Cook County, Illinois",239600,17,031,620100
"Census Tract 6308, Cook County, Illinois",519800,17,031,630800
"Census Tract 6407, Cook County, Illinois",233400,17,031,640700
"Census Tract 6501, Cook County, Illinois",407500,17,031,650100
"Census Tract 6705, Cook County, Illinois",111600,17,031,670500
"Census Tract 6719, Cook County, Illinois",71600,17,031,671900
"Census Tract 8300.06, Cook County, Illinois",169000,17,031,830006
"Census Tract 8302.01, Cook County, Illinois",1253800,17,031,830201
"Census Tract 8088, Cook County, Illinois",474700,17,031,808800
"Census Tract 8092, Cook County, Illinois",703600,17,031,809200
"Census Tract 8105.01, Cook County, Illinois",335800,17,031,810501
"Census Tract 8111, Cook County, Illinois",1097200,17,031,811100
"Census Tract 8112, Cook County, Illinois",418900,17,031,811200
"Census Tract 8125, Cook County, Illinois",698800,17,031,812500
"Census Tract 8127, Cook County, Illinois",985400,17,031,812700
"Census Tract 8140, Cook County, Illinois",440400,17,031,814000
"Census Tract 8150, Cook County, Illinois",614000,17,031,815000
"Census Tract 8154, Cook County, Illinois",934700,17,031,815400
"Census Tract 8166, Cook County, Illinois",439200,17,031,816600
"Census Tract 8171.01, Cook County, Illinois",616500,17,031,817101
"Census Tract 8172, Cook County, Illinois",578000,17,031,817200
"Census Tract 8174, Cook County, Illinois",305000,17,031,817400
"Census Tract 8199, Cook County, Illinois",66900,17,031,819900
"Census Tract 8205.01, Cook County, Illinois",253200,17,031,820501
"Census Tract 8224, Cook County, Illinois",626300,17,031,822400
"Census Tract 8228.02, Cook County, Illinois",133400,17,031,822802
"Census Tract 8233.03, Cook County, Illinois",365700,17,031,823303
"Census Tract 8236.04, Cook County, Illinois",53900,17,031,823604
"Census Tract 2003, Cook County, Illinois",277600,17,031,200300
"Census Tract 1101, Cook County, Illinois",753300,17,031,110100
"Census Tract 1102, Cook County, Illinois",557900,17,031,110200
"Census Tract 1302, Cook County, Illinois",180500,17,031,130200
"Census Tract 8030.05, Cook County, Illinois",265900,17,031,803005
"Census Tract 8033, Cook County, Illinois",1624800,17,031,803300
"Census Tract 8036.05, Cook County, Illinois",582800,17,031,803605
"Census Tract 2718, Cook County, Illinois",79800,17,031,271800
"Census Tract 2808, Cook County, Illinois",141100,17,031,280800
"Census Tract 2809, Cook County, Illinois",172800,17,031,280900
"Census Tract 2819, Cook County, Illinois",4336100,17,031,281900
"Census Tract 2912, Cook County, Illinois",518100,17,031,291200
"Census Tract 8039.02, Cook County, Illinois",231400,17,031,803902
"Census Tract 8041.04, Cook County, Illinois",391100,17,031,804104
"Census Tract 8041.05, Cook County, Illinois",,17,031,804105
"Census Tract 8042.02, Cook County, Illinois",549100,17,031,804202
"Census Tract 8048.05, Cook County, Illinois",240000,17,031,804805
"Census Tract 8300.04, Cook County, Illinois",355100,17,031,830004
"Census Tract 8300.05, Cook County, Illinois",608700,17,031,830005
"Census Tract 8206.06, Cook County, Illinois",379100,17,031,820606
"Census Tract 8238.05, Cook County, Illinois",52400,17,031,823805
"Census Tract 8238.06, Cook County, Illinois",397800,17,031,823806
"Census Tract 8240.03, Cook County, Illinois",405900,17,031,824003
"Census Tract 8240.04, Cook County, Illinois",746100,17,031,824004
"Census Tract 8240.05, Cook County, Illinois",223700,17,031,824005
"Census Tract 8240.06, Cook County, Illinois",265200,17,031,824006
"Census Tract 8241.13, Cook County, Illinois",,17,031,824113
"Census Tract 8241.14, Cook County, Illinois",227400,17,031,824114
"Census Tract 8241.15, Cook County, Illinois",252200,17,031,824115
"Census Tract 8241.16, Cook County, Illinois",987900,17,031,824116
"Census Tract 8241.17, Cook County, Illinois",72300,17,031,824117
"Census Tract 8241.19, Cook County, Illinois",141300,17,031,824119
"Census Tract 8241.20, Cook County, Illinois",98600,17,031,824120
"Census Tract 8241.21, Cook County, Illinois",116200,17,031,824121
"Census Tract 8241.22, Cook County, Illinois",204600,17,031,824122
"Census Tract 8241.23, Cook County, Illinois",504900,17,031,824123
"Census Tract 8253.03, Cook County, Illinois",695800,17,031,825303
"Census Tract 8253.04, Cook County, Illinois",335300,17,031,825304
"Census Tract 8300.07, Cook County, Illinois",753500,17,031,830007
"Census Tract 8300.08, Cook County, Illinois",218100,17,031,830008
"Census Tract 8305, Cook County, Illinois",282800,17,031,830500
"Census Tract 8306, Cook County, Illinois",1314900,17,031,830600
"Census Tract 8307, Cook County, Illinois",874700,17,031,830700
"Census Tract 8308, Cook County, Illinois",1322300,17,031,830800
"Census Tract 8309, Cook County, Illinois",734400,17,031,830900
"Census Tract 8310, Cook County, Illinois",740300,17,031,831000
"Census Tract 8311, Cook County, Illinois",1539600,17,031,831100
"Census Tract 8312, Cook County, Illinois",688100,17,031,831200
"Census Tract 8313, Cook County, Illinois",119100,17,031,831300
"Census Tract 8314, Cook County, Illinois",413200,17,031,831400
"Census Tract 8315, Cook County, Illinois",408000,17,031,831500
"Census Tract 8316, Cook County, Illinois",1037800,17,031,831600
"Census Tract 8317, Cook County, Illinois",366300,17,031,831700
"Census Tract 8318, Cook County, Illinois",1084200,17,031,831800
"Census Tract 8319, Cook County, Illinois",1156500,17,031,831900
"Census Tract 8320, Cook County, Illinois",765800,17,031,832000
"Census Tract 8321, Cook County, Illinois",1452000,17,031,832100
"Census Tract 8322, Cook County, Illinois",1312500,17,031,832200
"Census Tract 8323, Cook County, Illinois",851400,17,031,832300
"Census Tract 8324, Cook County, Illinois",821500,17,031,832400
"Census Tract 8325, Cook County, Illinois",915300,17,031,832500
"Census Tract 8326, Cook County, Illinois",1559700,17,031,832600
"Census Tract 8329, Cook County, Illinois",807600,17,031,832900
"Census Tract 8330, Cook County, Illinois",2454300,17,031,833000
"Census Tract 633.02, Cook County, Illinois",2597800,17,031,063302
"Census Tract 633.03, Cook County, Illinois",1463600,17,031,063303
"Census Tract 701.01, Cook County, Illinois",1932300,17,031,070101
"Census Tract 701.02, Cook County, Illinois",1717400,17,031,070102
"Census Tract 701.03, Cook County, Illinois",1364100,17,031,070103
"Census Tract 802.01, Cook County, Illinois",1562200,17,031,080201
"Census Tract 802.02, Cook County, Illinois",1277300,17,031,080202
"Census Tract 812.01, Cook County, Illinois",2743700,17,031,081201
"Census Tract 812.02, Cook County, Illinois",714700,17,031,081202
"Census Tract 814.01, Cook County, Illinois",1088100,17,031,081401
"Census Tract 814.02, Cook County, Illinois",3568400,17,031,081402
"Census Tract 814.03, Cook County, Illinois",6966300,17,031,081403
"Census Tract 1105.01, Cook County, Illinois",413700,17,031,110501
"Census Tract 1105.02, Cook County, Illinois",862500,17,031,110502
"Census Tract 8331, Cook County, Illinois",2098000,17,031,833100
"Census Tract 8333, Cook County, Illinois",780900,17,031,833300
"Census Tract 8339, Cook County, Illinois",302800,17,031,833900
"Census Tract 8340, Cook County, Illinois",719000,17,031,834000
"Census Tract 8342, Cook County, Illinois",848400,17,031,834200
"Census Tract 8343, Cook County, Illinois",628300,17,031,834300
"Census Tract 8344, Cook County, Illinois",920500,17,031,834400
"Census Tract 8345, Cook County, Illinois",278400,17,031,834500
"Census Tract 8346, Cook County, Illinois",414000,17,031,834600
"Census Tract 8347, Cook County, Illinois",287200,17,031,834700
"Census Tract 8348, Cook County, Illinois",236800,17,031,834800
"Census Tract 8349, Cook County, Illinois",290400,17,031,834900
"Census Tract 8350, Cook County, Illinois",831600,17,031,835000
"Census Tract 8351, Cook County, Illinois",382500,17,031,835100
"Census Tract 8352, Cook County, Illinois",195800,17,031,835200
"Census Tract 8355, Cook County, Illinois",280800,17,031,835500
"Census Tract 8356, Cook County, Illinois",128800,17,031,835600
"Census Tract 8357, Cook County, Illinois",133100,17,031,835700
"Census Tract 8358, Cook County, Illinois",348500,17,031,835800
"Census Tract 8359, Cook County, Illinois",736700,17,031,835900
"Census Tract 8360, Cook County, Illinois",380400,17,031,836000
"Census Tract 8361, Cook County, Illinois",510500,17,031,836100
"Census Tract 8362, Cook County, Illinois",67600,17,031,836200
"Census Tract 3404, Cook County, Illinois",263200,17,031,340400
"Census Tract 3602, Cook County, Illinois",425900,17,031,360200
"Census Tract 1908, Cook County, Illinois",957300,17,031,190800
"Census Tract 1912, Cook County, Illinois",472900,17,031,191200
"Census Tract 2101, Cook County, Illinois",914700,17,031,210100
"Census Tract 2204, Cook County, Illinois",868000,17,031,220400
"Census Tract 2408, Cook County, Illinois",411000,17,031,240800
"Census Tract 2430, Cook County, Illinois",765700,17,031,243000
"Census Tract 2508, Cook County, Illinois",260100,17,031,250800
"Census Tract 2517, Cook County, Illinois",136700,17,031,251700
"Census Tract 8184.01, Cook County, Illinois",235600,17,031,818401
"Census Tract 8165, Cook County, Illinois",477500,17,031,816500
"Census Tract 4301.01, Cook County, Illinois",1128900,17,031,430101
"Census Tract 4301.02, Cook County, Illinois",1065200,17,031,430102
"Census Tract 4313.01, Cook County, Illinois",682200,17,031,431301
"Census Tract 4313.02, Cook County, Illinois",932900,17,031,431302
"Census Tract 4401.01, Cook County, Illinois",1210200,17,031,440101
"Census Tract 4401.02, Cook County, Illinois",961800,17,031,440102
"Census Tract 4402.01, Cook County, Illinois",1382300,17,031,440201
"Census Tract 4402.02, Cook County, Illinois",623000,17,031,440202
"Census Tract 4603.01, Cook County, Illinois",377700,17,031,460301
"Census Tract 4603.02, Cook County, Illinois",524400,17,031,460302
"Census Tract 4909.01, Cook County, Illinois",634300,17,031,490901
"Census Tract 4909.02, Cook County, Illinois",639900,17,031,490902
"Census Tract 5305.01, Cook County, Illinois",477100,17,031,530501
"Census Tract 5305.02, Cook County, Illinois",74900,17,031,530502
"Census Tract 5305.03, Cook County, Illinois",433500,17,031,530503
"Census Tract 5401.01, Cook County, Illinois",528200,17,031,540101
"Census Tract 5401.02, Cook County, Illinois",443500,17,031,540102
"Census Tract 5805.01, Cook County, Illinois",505000,17,031,580501
"Census Tract 5805.02, Cook County, Illinois",451100,17,031,580502
"Census Tract 6503.01, Cook County, Illinois",309600,17,031,650301
"Census Tract 6503.02, Cook County, Illinois",163600,17,031,650302
"Census Tract 6603.01, Cook County, Illinois",264100,17,031,660301
"Census Tract 6603.02, Cook County, Illinois",731500,17,031,660302
"Census Tract 7003.01, Cook County, Illinois",179500,17,031,700301
"Census Tract 7003.02, Cook County, Illinois",275800,17,031,700302
"Census Tract 7004.01, Cook County, Illinois",309000,17,031,700401
"Census Tract 7004.02, Cook County, Illinois",146500,17,031,700402
"Census Tract 7005.01, Cook County, Illinois",482500,17,031,700501
"Census Tract 7005.02, Cook County, Illinois",54000,17,031,700502
"Census Tract 7302.01, Cook County, Illinois",894500,17,031,730201
"Census Tract 7302.02, Cook County, Illinois",294500,17,031,730202
"Census Tract 7608.01, Cook County, Illinois",1724500,17,031,760801
"Census Tract 7608.02, Cook County, Illinois",263400,17,031,760802
"Census Tract 7608.03, Cook County, Illinois",1566300,17,031,760803
"Census Tract 7702.01, Cook County, Illinois",1612400,17,031,770201
"Census Tract 7702.02, Cook County, Illinois",257400,17,031,770202
"Census Tract 7706.01, Cook County, Illinois",48200,17,031,770601
"Census Tract 1505.01, Cook County, Illinois",344300,17,031,150501
"Census Tract 1505.02, Cook County, Illinois",518800,17,031,150502
"Census Tract 1510.01, Cook County, Illinois",371800,17,031,151001
"Census Tract 1510.02, Cook County, Illinois",648700,17,031,151002
"Census Tract 1605.01, Cook County, Illinois",684400,17,031,160501
"Census Tract 1605.02, Cook County, Illinois",678300,17,031,160502
"Census Tract 1606.01, Cook County, Illinois",727700,17,031,160601
"Census Tract 1606.02, Cook County, Illinois",816800,17,031,160602
"Census Tract 1904.01, Cook County, Illinois",356700,17,031,190401
"Census Tract 1904.02, Cook County, Illinois",518600,17,031,190402
"Census Tract 1906.01, Cook County, Illinois",500700,17,031,190601
"Census Tract 1906.02, Cook County, Illinois",370100,17,031,190602
"Census Tract 1907.01, Cook County, Illinois",401500,17,031,190701
"Census Tract 1907.02, Cook County, Illinois",834100,17,031,190702
"Census Tract 1913.01, Cook County, Illinois",734000,17,031,191301
"Census Tract 1913.02, Cook County, Illinois",606100,17,031,191302
"Census Tract 2004.01, Cook County, Illinois",421700,17,031,200401
"Census Tract 2004.02, Cook County, Illinois",368000,17,031,200402
"Census Tract 2105.01, Cook County, Illinois",865100,17,031,210501
"Census Tract 3109, Cook County, Illinois",840700,17,031,310900
"Census Tract 4205, Cook County, Illinois",456000,17,031,420500
"Census Tract 4304, Cook County, Illinois",676700,17,031,430400
"Census Tract 4306, Cook County, Illinois",294900,17,031,430600
"Census Tract 4409, Cook County, Illinois",320700,17,031,440900
"Census Tract 4601, Cook County, Illinois",468500,17,031,460100
"Census Tract 4805, Cook County, Illinois",218900,17,031,480500
"Census Tract 2831, Cook County, Illinois",1259200,17,031,283100
"Census Tract 3007, Cook County, Illinois",571400,17,031,300700
"Census Tract 3008, Cook County, Illinois",430400,17,031,300800
"Census Tract 3406, Cook County, Illinois",117400,17,031,340600
"Census Tract 3403, Cook County, Illinois",186200,17,031,340300
"Census Tract 3510, Cook County, Illinois",2199900,17,031,351000
"Census Tract 8143, Cook County, Illinois",415200,17,031,814300
"Census Tract 8159, Cook County, Illinois",1443800,17,031,815900
"Census Tract 8087.02, Cook County, Illinois",141300,17,031,808702
"Census Tract 6606, Cook County, Illinois",961800,17,031,660600
"Census Tract 6701, Cook County, Illinois",151700,17,031,670100
"Census Tract 6708, Cook County, Illinois",177900,17,031,670800
"Census Tract 6711, Cook County, Illinois",144000,17,031,671100
"Census Tract 6712, Cook County, Illinois",163500,17,031,671200
"Census Tract 6714, Cook County, Illinois",136000,17,031,671400
"Census Tract 6715, Cook County, Illinois",300000,17,031,671500
"Census Tract 6716, Cook County, Illinois",319200,17,031,671600
"Census Tract 6720, Cook County, Illinois",349100,17,031,672000
"Census Tract 8262.02, Cook County, Illinois",430900,17,031,826202
"Census Tract 8266, Cook County, Illinois",736200,17,031,826600
"Census Tract 8268, Cook County, Illinois",441300,17,031,826800
"Census Tract 5001, Cook County, Illinois",624900,17,031,500100
"Census Tract 5204, Cook County, Illinois",279900,17,031,520400
"Census Tract 8209.02, Cook County, Illinois",226400,17,031,820902
"Census Tract 8210.01, Cook County, Illinois",546900,17,031,821001
"Census Tract 8210.02, Cook County, Illinois",190600,17,031,821002
"Census Tract 8222, Cook County, Illinois",149500,17,031,822200
"Census Tract 8225, Cook County, Illinois",268900,17,031,822500
"Census Tract 8228.01, Cook County, Illinois",286200,17,031,822801
"Census Tract 8232, Cook County, Illinois",154600,17,031,823200
"Census Tract 8236.03, Cook County, Illinois",236500,17,031,823603
"Census Tract 8237.05, Cook County, Illinois",567500,17,031,823705
"Census Tract 8241.07, Cook County, Illinois",258100,17,031,824107
"Census Tract 8243, Cook County, Illinois",446300,17,031,824300
"Census Tract 8255.04, Cook County, Illinois",682900,17,031,825504
"Census Tract 8257, Cook County, Illinois",446900,17,031,825700
